age,female,male
20,0.000819365,0.0014057
21,0.000933078,0.001510233
22,0.00105279,0.0016631
23,0.001120667,0.001830533
24,0.0012308,0.002041467
25,0.001263567,0.002231267
26,0.001375567,0.002353867
27,0.0014577,0.0024704
28,0.001622233,0.002594067
29,0.0017243,0.002841367
30,0.001927867,0.003059633
31,0.002110667,0.0032709
32,0.0022953,0.0036439
33,0.0024087,0.003831167
34,0.0025901,0.004133067
35,0.002811567,0.0042383
36,0.0030571,0.004682567
37,0.003275267,0.005198567
38,0.003595333,0.005778667
39,0.0040343,0.006470867
40,0.004558,0.0070727
41,0.005023933,0.007926733
42,0.005799167,0.0089051
43,0.006475433,0.0099306
44,0.007480733,0.011011533
45,0.008179667,0.012368467
46,0.0092208,0.0135742
47,0.009812567,0.0152639
48,0.010422567,0.0169663
49,0.010897067,0.0184347
50,0.0119966,0.020006
51,0.013262567,0.021442033
52,0.0144242,0.0240261
53,0.0157638,0.026800567
54,0.016954567,0.029526267
55,0.018949033,0.0318468
56,0.020578767,0.034519633
57,0.022231967,0.038018467
58,0.024347333,0.042736467
59,0.027108767,0.0480552
60,0.030485933,0.052796667
61,0.032860067,0.057946133
62,0.035952533,0.061500167
63,0.040319,0.066892667
64,0.044877267,0.072883633
65,0.049868033,0.081609933
66,0.054493033,0.090013867
67,0.059534467,0.098816233
68,0.0656371,0.108134633
69,0.071413033,0.116612433
70,0.0789238,0.126978467
71,0.0868805,0.1384283
72,0.096854167,0.152937833
73,0.105989467,0.167618033
74,0.114789967,0.1819741
75,0.125612833,0.197967033
76,0.1395879,0.218061333
77,0.1543841,0.241064833
78,0.167864033,0.265287533
79,0.182442533,0.2870756
80,0.198522933,0.311873433
81,0.219703333,0.339495
82,0.237159933,0.365555133
83,0.2587046,0.394029333
84,0.281797333,0.421938667
85,0.305816267,0.455159867
86,0.3281345,0.489118433
87,0.354250967,0.527635367
88,0.3830853,0.5667552
89,0.420533667,0.6048448
90,0.459441167,0.645769933
91,0.499426633,0.6685961
92,0.531871167,0.7041773
93,0.570286733,0.741379533
94,0.602184233,0.7995678
95,0.67698032,0.875715881
,,
,,
,,
,,
,,
,,
,,